customer_id,total_orders,total_gmv,total_days
572071,245,18144646.0,31
641235,78,3313887.0,29
597936,76,4328240.0,30
671642,26,1349175.0,18
654385,66,4436000.0,26
612505,119,5732358.0,30
601242,133,7872411.0,31
648758,48,1745410.0,23
648927,59,4889583.0,26
671106,35,1482999.0,19
579528,136,8367069.0,31
590389,175,7957719.0,31
675932,91,4266596.0,28
648898,35,1176201.0,20
674084,94,5910612.0,31
585342,124,5810495.0,30
646129,61,2499692.0,27
672430,82,4651307.0,28
568880,254,12457328.0,31
628538,83,4163712.0,29
555407,404,23182899.0,31
648355,37,1160875.0,21
655006,136,6496525.0,31
668305,32,1383380.0,21
625963,60,2668150.0,29
610692,37,2005683.0,21
605585,56,3092451.0,27
689411,113,5259227.0,7
675673,149,7827347.0,29
660437,46,2150452.0,24
668400,40,1339301.0,21
685994,154,7165536.0,31
568570,212,12815666.0,31
638837,73,3966588.0,28
561873,215,11528490.0,31
588579,75,4489275.0,31
573389,262,14790529.0,31
597310,116,6655360.0,31
633591,71,3597515.0,28
561093,296,17820709.0,31
663570,18,690750.0,12
580104,144,8908027.0,31
597867,205,14287284.0,31
688054,218,9775812.0,22
676022,61,2824865.0,26
557244,293,16619430.0,31
633019,80,4031476.0,28
602211,134,8876303.0,29
560977,339,23088653.0,31
645585,89,3377486.0,29
651200,44,1606875.0,23
656404,76,4601242.0,28
589212,109,8029870.0,31
644023,66,3443689.0,28
614609,74,3822032.0,27
616911,22,758280.0,16
649049,41,1755850.0,23
578844,162,8301909.0,31
633055,45,2555880.0,27
669593,55,3182875.0,25
680553,110,4465250.0,31
632128,23,1075650.0,15
628030,77,5172820.0,28
600840,116,8729348.0,31
641058,11,541800.0,10
595263,143,7342692.0,31
676713,126,6759916.0,30
661115,28,1200480.0,19
595016,127,6682167.0,31
683266,226,9279041.0,31
672398,35,1237600.0,22
573471,205,14165912.0,31
670294,67,3602860.0,26
687858,120,7997165.0,23
554596,339,21143638.0,31
602200,127,6270387.0,31
605953,166,9851091.0,31
581449,127,5500939.0,31
606028,107,5646672.0,30
568145,346,18293769.0,31
632649,33,2217646.0,18
605608,105,5523105.0,30
619647,125,6335611.0,31
664041,46,1866750.0,25
574442,198,14119268.0,31
575201,107,5996104.0,29
564813,263,21829643.0,31
665250,50,2458100.0,25
597203,72,4702379.0,28
658272,26,811100.0,18
620608,24,1387300.0,17
562898,402,26920052.0,31
643704,24,864845.0,15
566273,103,4921502.0,30
670098,26,842200.0,17
666097,40,1521800.0,20
554178,403,28800497.0,31
668200,50,2070100.0,22
688381,91,3892601.0,18
615798,79,4943168.0,27
579538,91,5849525.0,29
634038,26,1698200.0,18
576052,143,8581270.0,31
641942,46,2312130.0,21
657832,52,1632075.0,24
612173,71,2797120.0,29
648569,43,2012075.0,21
580244,216,12389067.0,30
662168,43,1687700.0,21
665177,24,1476700.0,18
573343,256,12535926.0,31
684292,110,5827566.0,30
687741,137,5611263.0,25
634263,91,4430375.0,30
546063,447,31460990.0,31
587740,158,8978877.0,31
623069,79,4765789.0,27
589733,103,6143512.0,27
596937,108,5066625.0,30
559535,434,23994755.0,31
662404,23,1701800.0,18
605025,77,3647725.0,27
658349,30,1753600.0,19
689276,105,4842363.0,9
608465,86,4443300.0,28
652656,90,3997734.0,30
635544,46,2197499.0,25
686114,135,5532507.0,30
666585,29,1405451.0,15
679194,72,4234199.0,28
594700,185,9786118.0,31
619308,83,4122285.0,28
561072,387,23988927.0,31
636276,45,3334087.0,24
25954,91,7606621.0,26
612098,80,3473652.0,29
620019,19,965805.0,12
587857,112,7628650.0,31
656394,32,1389144.0,21
659373,101,6347432.0,29
626451,34,1677517.0,21
643674,26,1229000.0,20
596729,108,6271457.0,31
626189,50,2273975.0,20
623013,65,3673745.0,30
660299,39,1419089.0,23
587127,153,9872271.0,31
658904,10,681710.0,9
646404,88,3240750.0,29
568594,226,13142352.0,31
669350,67,2645700.0,25
630941,107,6562550.0,29
658572,44,1399475.0,22
672878,176,8662509.0,31
675703,106,4168740.0,31
555420,253,16404703.0,31
550893,392,24942697.0,31
660129,70,2896540.0,26
569330,287,18668531.0,31
648787,72,3539495.0,25
615528,97,4521725.0,29
673635,59,2486625.0,26
591194,87,5160319.0,27
685512,196,12444754.0,31
619320,90,4218997.0,28
639540,87,4681462.0,27
596674,61,2784330.0,26
620697,65,3463517.0,23
583215,174,12008661.0,31
624505,25,1617000.0,17
686313,123,5073673.0,30
578688,146,8895555.0,31
653632,13,802775.0,13
606624,88,4443580.0,30
598657,145,6115935.0,31
650981,52,2044103.0,24
557915,393,24803214.0,31
549831,426,25219854.0,31
687588,112,4631427.0,25
631558,74,3953876.0,26
638016,61,2197935.0,28
640234,66,4046494.0,28
688556,135,5122178.0,17
639145,43,1978950.0,22
636961,88,3319969.0,30
640275,58,2535842.0,26
600444,145,8510573.0,30
655641,37,1688050.0,22
605887,210,11449083.0,31
619601,63,5911025.0,25
592155,176,8118308.0,31
651900,103,5801420.0,29
581874,157,7171361.0,31
568914,256,13211695.0,31
635263,27,1315900.0,17
586531,162,9764337.0,31
628618,104,5304050.0,31
618795,100,5487850.0,30
573878,115,7794350.0,31
625173,74,2927852.0,27
645222,53,2475006.0,26
679698,133,6085315.0,30
625705,65,3051894.0,30
563549,471,29767140.0,31
550127,313,17443793.0,31
558538,264,14518155.0,31
641803,30,1269719.0,18
